"%customer_name,","%customer_name,",theme,frontend/Magento/luma
"%name,","%name,",theme,frontend/Magento/luma
Begin export of %1,بدء تصدير %1,module,Magento_ImportExport
Additional data,بيانات إضافية,module,Magento_ImportExport
Make sure your file isn't more than %1M.,تأكد من أن الملف ليس أكثر من %1 ميجا.,module,Magento_ImportExport
History,تاريخ,module,Magento_ImportExport
Import History,تاريخ الاستيراد,module,Magento_ImportExport
Import history,تاريخ الاستيراد,module,Magento_ImportExport
Check Data,تحقق البيانات,module,Magento_ImportExport
Download,تحميل,module,Magento_ImportExport
Download full report,تحميل التقرير كاملا,module,Magento_ImportExport
Download Sample File,تحميل الملف العينة,module,Magento_ImportExport
label,تسمية,module,Magento_ImportExport
Attribute Label,تسمية السمة ,module,Magento_ImportExport
Export,تصدير,module,Magento_ImportExport
ID,تعريف,module,Magento_ImportExport
The validation is complete.,تم إكمال التحقق من الصحة.,module,Magento_ImportExport
The import was successful.,تم الاستيراد بنجاح.,module,Magento_ImportExport
The export is finished.,تم الانتهاء من التصدير.,module,Magento_ImportExport
Export File Format,تنسيق ملف التصدير,module,Magento_ImportExport
Filter,تنقية,module,Magento_ImportExport
Status,حالة,module,Magento_ImportExport
Images File Directory,حاوية ملفات الصور,module,Magento_ImportExport
Select File to Import,حدد ملف للاستيراد,module,Magento_ImportExport
Delete,حذف,module,Magento_ImportExport
Delete Entities,حذف الكيانات,module,Magento_ImportExport
Error message,رسالة خطأ,module,Magento_ImportExport
Import Behavior,سلوك الاستيراد,module,Magento_ImportExport
Allowed Errors Count,عدد الأخطاء المسموحة,module,Magento_ImportExport
Field separator,فاصل الحقل,module,Magento_ImportExport
Multiple value separator,فاصل القيم المتعددة,module,Magento_ImportExport
Only the first 100 errors are shown. ,فقط تظهر الأخطاء ال 100 الأولى. ,module,Magento_ImportExport
in row(s),في الصفوف,module,Magento_ImportExport
in row(s):,في الصفوف:,module,Magento_ImportExport
Attribute Code,كود السمة,module,Magento_ImportExport
Entity is unknown,كيان غير معروف,module,Magento_ImportExport
There is no data for the export.,لا توجد بيانات للتصدير.,module,Magento_ImportExport
We can't provide the upload settings right now.,لا يمكننا أن نوفر إعدادات التحميل الآن.,module,Magento_ImportExport
The file was not uploaded.,لم يتم رفع الملف.,module,Magento_ImportExport
Summary,ملخص,module,Magento_ImportExport
From,من,module,Magento_ImportExport
Validation Results,نتائج التحقق من الصحة,module,Magento_ImportExport
Custom Action,نشاط مخصص,module,Magento_ImportExport
Entity Type,نوع الكيان,module,Magento_ImportExport
This file is empty. Please try another one.,هذا الملف فارغ. الرجاء محاولة واحد اَخر.,module,Magento_ImportExport
The adapter object must be an instance of %1.,يجب أن يكون المنظم مثيل من %1.,module,Magento_ImportExport
Replace,يحل محل,module,Magento_ImportExport
Please specify the writer.,يرجى تحديد الكاتب.,module,Magento_ImportExport
Please specify number of errors to halt import process,يرجى تحديد عدد من الأخطاء لوقف عملية الاستيراد,module,Magento_ImportExport
Please correct the file format.,يرجى تصحيح بنية ملف.,module,Magento_ImportExport
Please correct the data sent value.,يرجى تصحيح قيمة البيانات المرسلة.,module,Magento_ImportExport
Please provide filter data.,يرجى تقديم بيانات التصفية.,module,Magento_ImportExport
%1 index is locked by another reindex process. Skipping.,%1 index is locked by another reindex process. Skipping.,module,Magento_Indexer
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexer(s) are in ""Update by Schedule"" mode.",module,Magento_Indexer
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexer(s) are in ""Update on Save"" mode.",module,Magento_Indexer
Change indexer mode,Change indexer mode,module,Magento_Indexer
Field '%1' not found,Field '%1' not found,module,Magento_Indexer
Index Management,Index Management,module,Magento_Indexer
Indexer,Indexer,module,Magento_Indexer
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.",module,Magento_Indexer
Please select indexers.,Please select indexers.,module,Magento_Indexer
Reindex required,Reindex required,module,Magento_Indexer
Some Exception Message,Some Exception Message,module,Magento_Indexer
State for the same indexer,State for the same indexer,module,Magento_Indexer
State for the same view,State for the same view,module,Magento_Indexer
Test Phrase,Test Phrase,module,Magento_Indexer
We couldn't change indexer(s)' mode because of an error.,We couldn't change indexer(s)' mode because of an error.,module,Magento_Indexer
Never,أبدا,module,Magento_Indexer
Indexer Management,إدارة المفهرس,module,Magento_Indexer
Update by Schedule,التحديث عن طريق الجدول,module,Magento_Indexer
Update on Save,التحديث عند الحفظ,module,Magento_Indexer
Processing,جاري التكوين,module,Magento_Indexer
Ready,جاهز,module,Magento_Indexer
Status,حالة,module,Magento_Indexer
Updated,حدثت,module,Magento_Indexer
Mode,طريقة,module,Magento_Indexer
Description,وصف,module,Magento_Indexer
%fieldName is a required field.,%fieldName is a required field.,module,Magento_Integration
A consumer having the specified key does not exist,A consumer having the specified key does not exist,module,Magento_Integration
A consumer with ID %1 does not exist,A consumer with ID %1 does not exist,module,Magento_Integration
A consumer with the ID %1 does not exist,A consumer with the ID %1 does not exist,module,Magento_Integration
A token with consumer ID %1 does not exist,A token with consumer ID %1 does not exist,module,Magento_Integration
A token with consumer ID 0 does not exist,A token with consumer ID 0 does not exist,module,Magento_Integration
Access Token,Access Token,module,Magento_Integration
Access token has been revoked,Access token has been revoked,module,Magento_Integration
Access Token Secret,Access Token Secret,module,Magento_Integration
Activate,Activate,module,Magento_Integration
Active,Active,module,Magento_Integration
Add New Integration,Add New Integration,module,Magento_Integration
Allow,Allow,module,Magento_Integration
An error occurred validating the nonce,An error occurred validating the nonce,module,Magento_Integration
API,API,module,Magento_Integration
Are you sure ?,Are you sure ?,module,Magento_Integration
Are you sure you want to delete this integration? You can't undo this action.,Are you sure you want to delete this integration? You can't undo this action.,module,Magento_Integration
Available APIs,Available APIs,module,Magento_Integration
Callback URL,Callback URL,module,Magento_Integration
Cannot convert to access token due to token is not request type,Cannot convert to access token due to token is not request type,module,Magento_Integration
Cannot create request token because consumer token is not a verifier token,Cannot create request token because consumer token is not a verifier token,module,Magento_Integration
Cannot edit integrations created via config file.,Cannot edit integrations created via config file.,module,Magento_Integration
Cannot get access token because consumer token is not a request token,Cannot get access token because consumer token is not a request token,module,Magento_Integration
Cleanup Probability,Cleanup Probability,module,Magento_Integration
Cleanup Settings,Cleanup Settings,module,Magento_Integration
Consumer Key,Consumer Key,module,Magento_Integration
Consumer key has expired,Consumer key has expired,module,Magento_Integration
Consumer key is not the correct length,Consumer key is not the correct length,module,Magento_Integration
Consumer Secret,Consumer Secret,module,Magento_Integration
Consumer Settings,Consumer Settings,module,Magento_Integration
Consumer with ID '%1' does not exist.,Consumer with ID '%1' does not exist.,module,Magento_Integration
"Edit ""%1"" Integration","Edit ""%1"" Integration",module,Magento_Integration
Edit Integration '%1',Edit Integration '%1',module,Magento_Integration
Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.,Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.,module,Magento_Integration
Expiration Period,Expiration Period,module,Magento_Integration
Extensions,Extensions,module,Magento_Integration
Identity link URL,Identity link URL,module,Magento_Integration
Inactive,Inactive,module,Magento_Integration
Incorrect timestamp value in the oauth_timestamp parameter,Incorrect timestamp value in the oauth_timestamp parameter,module,Magento_Integration
Integration '%1' has been sent for activation.,Integration '%1' has been sent for activation.,module,Magento_Integration
Integration '%1' has been sent for re-authorization.,Integration '%1' has been sent for re-authorization.,module,Magento_Integration
Integration configuration file,Integration configuration file,module,Magento_Integration
Integration Details,Integration Details,module,Magento_Integration
Integration ID is not specified or is invalid.,Integration ID is not specified or is invalid.,module,Magento_Integration
Integration Info,Integration Info,module,Magento_Integration
Integration Tokens for Extensions,Integration Tokens for Extensions,module,Magento_Integration
Integration with ID '%1' does not exist.,Integration with ID '%1' does not exist.,module,Magento_Integration
Integration with ID '%1' doesn't exist.,Integration with ID '%1' doesn't exist.,module,Magento_Integration
Integration with name '%1' exists.,Integration with name '%1' exists.,module,Magento_Integration
Integrations,Integrations,module,Magento_Integration
Integrations API Configuration,Integrations API Configuration,module,Magento_Integration
Integrations API configuration file,Integrations API configuration file,module,Magento_Integration
Integrations Configuration,Integrations Configuration,module,Magento_Integration
Internal error. Check exception log for details.,Internal error. Check exception log for details.,module,Magento_Integration
Invalid Callback URL,Invalid Callback URL,module,Magento_Integration
Invalid Rejected Callback URL,Invalid Rejected Callback URL,module,Magento_Integration
Invalid token to except,Invalid token to except,module,Magento_Integration
New Integration,New Integration,module,Magento_Integration
No permissions requested,No permissions requested,module,Magento_Integration
OAuth,OAuth,module,Magento_Integration
OAuth consumer credentials HTTP Post maxredirects,OAuth consumer credentials HTTP Post maxredirects,module,Magento_Integration
OAuth consumer credentials HTTP Post timeout,OAuth consumer credentials HTTP Post timeout,module,Magento_Integration
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.",module,Magento_Integration
Please setup or sign in into your 3rd party account to complete setup of this integration.,Please setup or sign in into your 3rd party account to complete setup of this integration.,module,Magento_Integration
Popup Blocker is enabled! Please add this site to your exception list.,Popup Blocker is enabled! Please add this site to your exception list.,module,Magento_Integration
Reauthorize,Reauthorize,module,Magento_Integration
Request token is not associated with the specified consumer,Request token is not associated with the specified consumer,module,Magento_Integration
Save & Activate,Save & Activate,module,Magento_Integration
Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.,Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.,module,Magento_Integration
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Sorry, something went wrong granting permissions. You can find out more in the exceptions log.",module,Magento_Integration
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later.",module,Magento_Integration
Specified token does not exist,Specified token does not exist,module,Magento_Integration
The integration '%1' has been activated.,The integration '%1' has been activated.,module,Magento_Integration
The integration '%1' has been deleted.,The integration '%1' has been deleted.,module,Magento_Integration
The integration '%1' has been re-authorized.,The integration '%1' has been re-authorized.,module,Magento_Integration
The integration '%1' has been saved.,تم حفظ الدمج '%1',module,Magento_Integration
The integration was not saved.,لم يتم حفظ الدمج.,module,Magento_Integration
The integration you selected asks you to approve access to the following:,الدمج الذي حددته يتطلب منك الموافقة على الدخول إلى ما يلي:,module,Magento_Integration
The nonce is already being used by the consumer with ID %1,The nonce is already being used by the consumer with ID %1,module,Magento_Integration
The tokens could not be revoked.,The tokens could not be revoked.,module,Magento_Integration
This customer has no tokens.,This customer has no tokens.,module,Magento_Integration
This integration no longer exists.,الدمج لم يعد موجودا.,module,Magento_Integration
This user has no tokens.,هذا المستخدم ليس لديه رموز.,module,Magento_Integration
Token is already being used,Token is already being used,module,Magento_Integration
Token is not an access token,Token is not an access token,module,Magento_Integration
Token is not associated with the specified consumer,Token is not associated with the specified consumer,module,Magento_Integration
Token is not the correct length,Token is not the correct length,module,Magento_Integration
Token verifier and verifier token do not match,Token verifier and verifier token do not match,module,Magento_Integration
Unable to post data to consumer due to an unexpected error,Unable to post data to consumer due to an unexpected error,module,Magento_Integration
Unexpected error. Unable to create oAuth consumer account.,Unexpected error. Unable to create oAuth consumer account.,module,Magento_Integration
Unexpected error. Unable to load oAuth consumer account.,Unexpected error. Unable to load oAuth consumer account.,module,Magento_Integration
Uninstall the extension to remove integration '%1'.,Uninstall the extension to remove integration '%1'.,module,Magento_Integration
Uninstall the extension to remove this integration,Uninstall the extension to remove this integration,module,Magento_Integration
URL to redirect user to link their 3rd party account with this Magento integration credentials.,URL to redirect user to link their 3rd party account with this Magento integration credentials.,module,Magento_Integration
Verifier is invalid,المدقق غير صالح,module,Magento_Integration
Verifier is not the correct length,طول التأكيد ليس صحيح.,module,Magento_Integration
"View ""%1"" Integration","عرض ""%1"" التكامل",module,Magento_Integration
Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information,Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information,module,Magento_Integration
You did not sign in correctly or your account is temporarily disabled.,You did not sign in correctly or your account is temporarily disabled.,module,Magento_Integration
You have entered an invalid password for current user.,لقد قمت بإدخال كلمة مرور غير صالحة للمستخدم الحالي.,module,Magento_Integration
Your account is temporarily disabled.,تم تعطيل حسابك مؤقتا.,module,Magento_Integration
Remove,إزالة,module,Magento_Integration
Reset,إعادة تعيين,module,Magento_Integration
Name,اسم,module,Magento_Integration
Basic Settings,الإعدادات الأساسية,module,Magento_Integration
Resource Access,الدخول الى الموارد,module,Magento_Integration
All,الكل,module,Magento_Integration
Email,بريد إلكتوني,module,Magento_Integration
Current User Identity Verification,تأكيد هوية المستخدم الحالي,module,Magento_Integration
Edit,تعديل,module,Magento_Integration
Done,تم,module,Magento_Integration
Status,حالة,module,Magento_Integration
Save,حفظ,module,Magento_Integration
General,عام,module,Magento_Integration
View,عرض,module,Magento_Integration
Your Password,كلمة السر الخاصة بك,module,Magento_Integration
We couldn't find any records.,لم نتمكن من العثور على أي سجلات.,module,Magento_Integration
Custom,مخصص,module,Magento_Integration
Resources,موارد,module,Magento_Integration
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price",module,Magento_LayeredNavigation
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price.",module,Magento_LayeredNavigation
Default Price Navigation Step,Default Price Navigation Step,module,Magento_LayeredNavigation
Display Price Interval as One Price,Display Price Interval as One Price,module,Magento_LayeredNavigation
Display Product Count,Display Product Count,module,Magento_LayeredNavigation
Filterable (no results),Filterable (no results),module,Magento_LayeredNavigation
Filterable (with results),Filterable (with results),module,Magento_LayeredNavigation
Interval Division Limit,Interval Division Limit,module,Magento_LayeredNavigation
Layered Navigation,Layered Navigation,module,Magento_LayeredNavigation
Maximum Number of Price Intervals,Maximum Number of Price Intervals,module,Magento_LayeredNavigation
Maximum number of price intervals is 100,Maximum number of price intervals is 100,module,Magento_LayeredNavigation
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals.",module,Magento_LayeredNavigation
Position in Layered Navigation,Position in Layered Navigation,module,Magento_LayeredNavigation
Position of attribute in layered navigation block.,Position of attribute in layered navigation block.,module,Magento_LayeredNavigation
Price Navigation Step Calculation,Price Navigation Step Calculation,module,Magento_LayeredNavigation
This setting will be applied when all prices in the specific price interval are equal.,This setting will be applied when all prices in the specific price interval are equal.,module,Magento_LayeredNavigation
Use in Layered Navigation,Use in Layered Navigation,module,Magento_LayeredNavigation
Use in Search Results Layered Navigation,Use in بحث Results Layered Navigation,module,Magento_LayeredNavigation
Remove,إزالة,module,Magento_LayeredNavigation
Shop By,التسوق حسب,module,Magento_LayeredNavigation
Now Shopping by,تسوق الآن بواسطة,module,Magento_LayeredNavigation
Remove This Item,حذف هذا البند,module,Magento_LayeredNavigation
Shopping Options,خيارات التسوق,module,Magento_LayeredNavigation
Previous,سابق,module,Magento_LayeredNavigation
items,عناصر,module,Magento_LayeredNavigation
item,عنصر,module,Magento_LayeredNavigation
No,لا,module,Magento_LayeredNavigation
Clear All,مسح الكل,module,Magento_LayeredNavigation
Position,موضع,module,Magento_LayeredNavigation
Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.,Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.,module,Magento_Marketplace
Featured Platinum Partners,Featured Platinum Partners,module,Magento_Marketplace
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, بحث, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.",module,Magento_Marketplace
Magento Marketplace,Magento Marketplace,module,Magento_Marketplace
Platinum Partners,Platinum Partners,module,Magento_Marketplace
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.",module,Magento_Marketplace
Visit Magento Marketplaces,Visit Magento Marketplaces,module,Magento_Marketplace
More Partners,المزيد من الشركاء,module,Magento_Marketplace
Partner search,بحث الشريك,module,Magento_Marketplace
Partners,شركاء,module,Magento_Marketplace
Partner Page,صفحة الشريك,module,Magento_Marketplace
Read More,قراءة المزيد,module,Magento_Marketplace
No partners were found,لم يتم العثور على شركاء,module,Magento_Marketplace
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.",module,Magento_MediaStorage
Environment Update Time,Environment Update Time,module,Magento_MediaStorage
"File with an extension ""%value%"" is protected and cannot be uploaded","File with an extension ""%value%"" is protected and cannot be uploaded",module,Magento_MediaStorage
Parent directory does not exist: %1,Parent directory does not exist: %1,module,Magento_MediaStorage
"Path ""%value%"" is not available and cannot be used.","Path ""%value%"" is not available and cannot be used.",module,Magento_MediaStorage
"Path ""%value%"" is protected and cannot be used.","Path ""%value%"" is protected and cannot be used.",module,Magento_MediaStorage
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\"").","Path ""%value%"" may not include parent directory traversal (""../"", ""..\"").",module,Magento_MediaStorage
Please set available and/or protected paths list(s) before validation.,Please set available and/or protected paths list(s) before validation.,module,Magento_MediaStorage
Select Media Database,Select Media Database,module,Magento_MediaStorage
Storage Configuration for Media,Storage Configuration for Media,module,Magento_MediaStorage
The timeout limit for response from synchronize process was reached.,The timeout limit for response from synchronize process was reached.,module,Magento_MediaStorage
Unable to create directory: %1,Unable to create directory: %1,module,Magento_MediaStorage
"Unable to save file ""%1"" at ""%2""","Unable to save file ""%1"" at ""%2""",module,Magento_MediaStorage
Unable to save file: %1,Unable to save file: %1,module,Magento_MediaStorage
Wrong file info format,Wrong file info format,module,Magento_MediaStorage
File %1 is not readable,الملف %1 غير قابل للقراءة,module,Magento_MediaStorage
File %1 does not exist,الملف %1 ليس موجودا,module,Magento_MediaStorage
Media Storage,تخزين الوسائط,module,Magento_MediaStorage
Synchronizing...,جاري التزامن,module,Magento_MediaStorage
Synchronizing %1 to %2,جاري تزامن %1 الى %2,module,Magento_MediaStorage
Synchronize,زامن,module,Magento_MediaStorage
Database,قاعدة البيانات,module,Magento_MediaStorage
"database ""%1""","قاعدة البيانات ""%1""",module,Magento_MediaStorage
File System,نظام الملفات,module,Magento_MediaStorage
File system,نظام الملفات,module,Magento_MediaStorage
Actual Price,Actual Price,module,Magento_Msrp
Before Order Confirmation,Before Order Confirmation,module,Magento_Msrp
Click for price,Click for price,module,Magento_Msrp
"Default ""What's This"" Text Message","Default ""What's This"" Text Message",module,Magento_Msrp
Default Popup Text Message,Default Popup Text Message,module,Magento_Msrp
Display Actual Price,Display Actual Price,module,Magento_Msrp
Enable MAP,Enable MAP,module,Magento_Msrp
In Cart,In Cart,module,Magento_Msrp
Minimum Advertised Price,Minimum Advertised Price,module,Magento_Msrp
On Gesture,On Gesture,module,Magento_Msrp
Order total will be displayed before you submit the order,Order total will be displayed before you submit the order,module,Magento_Msrp
"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your cart. You can always remove it later.",module,Magento_Msrp
You will see the order total before you submit the order.,You will see the order total before you submit the order.,module,Magento_Msrp
Add to Cart,أضف إلى السلة,module,Magento_Msrp
Use config,استخدام التكوين,module,Magento_Msrp
See price before order confirmation.,رؤية السعر قبل تأكيد الطلب.,module,Magento_Msrp
Price,سعر,module,Magento_Msrp
What's this?,ما هذا؟,module,Magento_Msrp
A payment method is not defined.,A payment method is not defined.,module,Magento_Multishipping
Add New Address,Add New Address,module,Magento_Multishipping
Address %1 <span>of %2</span>,Address %1 <span>of %2</span>,module,Magento_Multishipping
Allow Shipping to Multiple Addresses,Allow Shipping to Multiple Addresses,module,Magento_Multishipping
Back to Billing Information,Back to Billing Information,module,Magento_Multishipping
Back to Shipping Information,Back to Shipping Information,module,Magento_Multishipping
Back to Shopping Cart,Back to Shopping Cart,module,Magento_Multishipping
Billing Information,Billing Information,module,Magento_Multishipping
Billing Information - %1,Billing Information - %1,module,Magento_Multishipping
Check Out with Multiple Addresses,Check Out with Multiple Addresses,module,Magento_Multishipping
Create Billing Address,Create Billing Address,module,Magento_Multishipping
Create Shipping Address,Create Shipping Address,module,Magento_Multishipping
Data saving problem,Data saving problem,module,Magento_Multishipping
Default Billing,Default Billing,module,Magento_Multishipping
Default Shipping,Default Shipping,module,Magento_Multishipping
Edit Address,Edit Address,module,Magento_Multishipping
Edit Billing Address,Edit Billing Address,module,Magento_Multishipping
Edit Shipping Address,Edit Shipping Address,module,Magento_Multishipping
Go to Review Your Order,Go to Review Your Order,module,Magento_Multishipping
Item not found or already ordered,Item not found or already ordered,module,Magento_Multishipping
Maximum Qty Allowed for Shipping to Multiple Addresses,Maximum Qty Allowed for Shipping to Multiple Addresses,module,Magento_Multishipping
Maximum qty allowed for Shipping to multiple addresses is %1,Maximum qty allowed for Shipping to multiple addresses is %1,module,Magento_Multishipping
Multishipping Settings,Multishipping Settings,module,Magento_Multishipping
Multishipping Settings Section,Multishipping Settings Section,module,Magento_Multishipping
Order place error,Order place error,module,Magento_Multishipping
Please agree to all Terms and Conditions before placing the order.,Please agree to all Terms and Conditions before placing the order.,module,Magento_Multishipping
Please check billing address information.,Please check billing address information.,module,Magento_Multishipping
Please check shipping address information.,Please check shipping address information.,module,Magento_Multishipping
Please check shipping addresses information.,Please check shipping addresses information.,module,Magento_Multishipping
Please choose a payment method.,Please choose a payment method.,module,Magento_Multishipping
Please select a shipping address for applicable items.,Please select a shipping address for applicable items.,module,Magento_Multishipping
Please select shipping methods for all addresses.,Please select shipping methods for all addresses.,module,Magento_Multishipping
Please specify a payment method.,Please specify a payment method.,module,Magento_Multishipping
Please specify shipping methods for all addresses.,Please specify shipping methods for all addresses.,module,Magento_Multishipping
Review Order,Review Order,module,Magento_Multishipping
Review Order - %1,Review Order - %1,module,Magento_Multishipping
Select Address,Select Address,module,Magento_Multishipping
Select Addresses,Select Addresses,module,Magento_Multishipping
Select Shipping Method,Select Shipping Method,module,Magento_Multishipping
Ship to Multiple Addresses,Ship to Multiple Addresses,module,Magento_Multishipping
Shipping Information,Shipping Information,module,Magento_Multishipping
Shipping Methods,Shipping Methods,module,Magento_Multishipping
The requested payment method is not available for multishipping.,The requested payment method is not available for multishipping.,module,Magento_Multishipping
Total for this address,الإجمالي لهذا العنوان,module,Magento_Multishipping
We can't complete your order because you don't have a payment method set up.,We can't complete your order because you don't have a payment method set up.,module,Magento_Multishipping
We cannot open the overview page.,We cannot open the overview page.,module,Magento_Multishipping
We received your order!,تلقينا طلبك!,module,Magento_Multishipping
Enter a New Address,أدخل عنوان جديد,module,Magento_Multishipping
Actions,أعمال,module,Magento_Multishipping
Send To,إرسال الى,module,Magento_Multishipping
Your order numbers are: ,ارقام طلباتك هى:,module,Magento_Multishipping
Continue to Billing Information,استأنف الى معلومات الفواتير,module,Magento_Multishipping
Product Name,اسم المنتج,module,Magento_Multishipping
Go to Shipping Information,الذهاب إلى معلومات الشحن,module,Magento_Multishipping
Shipping is not applicable.,الشحن غير قابلة للتطبيق.,module,Magento_Multishipping
Other items in your order,العناصر الأخرى في طلبك,module,Magento_Multishipping
Back to Select Addresses,العودة إلى تحديد العناوين,module,Magento_Multishipping
Grand Total:,المبلغ الإجمالي:,module,Magento_Multishipping
A shipping selection is not applicable.,المجموعة المختارة من الشحن غير قابلة للتطبيق.,module,Magento_Multishipping
Incl. Tax,بما في ذلك ضريبة,module,Magento_Multishipping
Edit,تعديل,module,Magento_Multishipping
Edit Items,تعديل البنود,module,Magento_Multishipping
Change,تغيير,module,Magento_Multishipping
Change Billing Address,تغيير عنوان الفواتير,module,Magento_Multishipping
Submitting order information...,تقديم معلومات الطلب...,module,Magento_Multishipping
Subtotal,حاصل الجمع,module,Magento_Multishipping
Remove Item,حذف العنصر,module,Magento_Multishipping
Remove item,حذف العنصر,module,Magento_Multishipping
Options,خيارات,module,Magento_Multishipping
Your order number is: ,رقم طلبك هو:,module,Magento_Multishipping
Price,سعر,module,Magento_Multishipping
Thanks for your order. We'll email you order details and tracking information.,شكرا لطلبك. سوف نرسل لك بريد إلكتروني بتفاصيل الطلب ومعلومات التتبع.,module,Magento_Multishipping
Thank you for your purchase!,شكرا لك على الشراء!,module,Magento_Multishipping
Payment Method,طريقة الدفع او السداد,module,Magento_Multishipping
Shipping Method,طريقة الشحن,module,Magento_Multishipping
"Sorry, no quotes are available for this order right now.",عذرا، لا يوجد عروض أسعار متاحة لهذا الطلب في الوقت الحالي.,module,Magento_Multishipping
Items,عناصر,module,Magento_Multishipping
Update Qty &amp,Update Qty &amp,module,Magento_Multishipping
 Addresses,عناوين,module,Magento_Multishipping
Item,عنصر,module,Magento_Multishipping
Billing Address,عنوان الفواتير,module,Magento_Multishipping
Excl. Tax,غير شامل. ضريبة,module,Magento_Multishipping
Qty,كمية,module,Magento_Multishipping
Total,مجموع,module,Magento_Multishipping
Order Review,تقييم الطلب,module,Magento_Multishipping
Product,منتج,module,Magento_Multishipping
Continue Shopping,مواصلة التسوق,module,Magento_Multishipping
Order Success,نجاح الطلب,module,Magento_Multishipping
Place Order,وضع الطلب,module,Magento_Multishipping
Shipping To,يشحن إلى,module,Magento_Multishipping
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one",module,Magento_NewRelicReporting
Cron,Cron,module,Magento_NewRelicReporting
Enable Cron,Enable Cron,module,Magento_NewRelicReporting
Enable New Relic Integration,Enable New Relic Integration,module,Magento_NewRelicReporting
Generated under Insights in Manage data -> API Keys -> Insert Keys,Generated under Insights in Manage data -> API Keys -> Insert Keys,module,Magento_NewRelicReporting
Insights API Key,Insights API Key,module,Magento_NewRelicReporting
Insights API URL,Insights API URL,module,Magento_NewRelicReporting
New Relic Account ID,New Relic Account ID,module,Magento_NewRelicReporting
New Relic API Key,New Relic API Key,module,Magento_NewRelicReporting
New Relic API URL,New Relic API URL,module,Magento_NewRelicReporting
New Relic Application ID,New Relic Application ID,module,Magento_NewRelicReporting
New Relic Application Name,New Relic Application Name,module,Magento_NewRelicReporting
New Relic Reporting,New Relic Reporting,module,Magento_NewRelicReporting
New Relic Reporting Section,New Relic Reporting Section,module,Magento_NewRelicReporting
"No New Relic Application ID configured, cannot continue with Cron Event reporting","No New Relic Application ID configured, cannot continue with Cron Event reporting",module,Magento_NewRelicReporting
"The New Relic integration requires the newrelic-php5 agent, which is not installed. More 
                        information on installing the agent is available <a target=""_blank"" href=""%1"">here</a>.","The New Relic integration requires the newrelic-php5 agent, which is not installed. More 
                        information on installing the agent is available <a target=""_blank"" href=""%1"">here</a>.",module,Magento_NewRelicReporting
